content_type,number_of_peers,opt_type,runtime_in_ms,success,objective,avg_delay
MESSAGING,9,ILP,1921353.7259,1,260.0000,47.1561
MESSAGING,9,MST,13.4361,1,263.0000,49.0958
VIDEO,10,DIR,0.2749,1,1135.0000,26.0072
VIDEO,10,HEU,11.4453,1,265.0000,51.2099
VIDEO,10,ILP,2967871.6195,1,260.0000,50.6301
VIDEO,10,MST,15.2388,1,262.0000,47.2100
AUDIO,10,DIR,0.0269,1,1135.0000,26.0072
AUDIO,10,HEU,8.5001,1,265.0000,51.2099
AUDIO,10,ILP,2510812.9950,1,260.0000,57.1574
AUDIO,10,MST,18.0130,1,262.0000,47.2100
MESSAGING,10,DIR,0.0243,1,1135.0000,26.0072
MESSAGING,10,HEU,8.8618,1,265.0000,51.2099
MESSAGING,10,ILP,4884221.0994,1,260.0000,585.1863
MESSAGING,10,MST,13.8240,1,262.0000,47.2100
VIDEO,11,DIR,0.3054,1,1137.0000,24.7107
VIDEO,11,HEU,13.1166,1,267.0000,47.3931
VIDEO,11,ILP,4577580.5049,1,262.0000,44.7744
VIDEO,11,MST,15.4729,1,263.0000,61.9488
AUDIO,11,DIR,0.0274,1,1137.0000,24.7107
AUDIO,11,HEU,10.0739,1,267.0000,47.3931
AUDIO,11,ILP,4351213.4678,1,262.0000,58.5022
AUDIO,11,MST,29.6006,1,263.0000,61.9488
MESSAGING,11,DIR,0.0255,1,1137.0000,24.7107
MESSAGING,11,HEU,10.8128,1,267.0000,47.3931
MESSAGING,11,ILP,6340612.1857,1,262.0000,43.7944
MESSAGING,11,MST,32.2099,1,263.0000,61.9488
VIDEO,12,DIR,0.2990,1,1265.0000,25.6003
VIDEO,12,HEU,13.9256,1,268.0000,47.3499
VIDEO,12,ILP,5721171.0575,1,263.0000,42.1178
VIDEO,12,MST,15.2221,1,264.0000,62.8601
AUDIO,12,DIR,0.0269,1,1265.0000,25.6003
AUDIO,12,HEU,11.1780,1,268.0000,47.3499
AUDIO,12,ILP,6512385.9205,1,263.0000,54.0646
AUDIO,12,MST,13.1674,1,264.0000,62.8601
MESSAGING,12,DIR,0.0601,1,1265.0000,25.6003
MESSAGING,12,HEU,10.5290,1,268.0000,47.3499
MESSAGING,12,MST,28.1129,1,264.0000,62.8601
VIDEO,13,DIR,0.2897,1,1515.0000,29.7640
VIDEO,13,HEU,15.3584,1,394.0000,55.5459
VIDEO,13,ILP,6380182.6215,1,388.0000,48.9129
VIDEO,13,MST,16.0129,1,390.0000,69.6950
AUDIO,13,DIR,0.0370,1,1515.0000,29.7640
AUDIO,13,HEU,14.8289,1,394.0000,55.5459
AUDIO,13,MST,29.7558,1,390.0000,69.6950
MESSAGING,13,DIR,0.0279,1,1515.0000,29.7640
MESSAGING,13,HEU,12.0637,1,394.0000,55.5459
MESSAGING,13,MST,29.4569,1,390.0000,69.6950
VIDEO,14,DIR,0.2818,1,1643.0000,29.9812
VIDEO,14,HEU,16.4349,1,394.0000,54.7274
VIDEO,14,MST,27.5049,1,390.0000,69.7059
AUDIO,14,DIR,0.0360,1,1643.0000,29.9812
AUDIO,14,HEU,30.1600,1,394.0000,54.7274
AUDIO,14,MST,22.5382,1,390.0000,69.7059
MESSAGING,14,DIR,0.0432,1,1643.0000,29.9812
MESSAGING,14,HEU,70.0541,1,394.0000,54.7274
MESSAGING,14,MST,13.8805,1,390.0000,69.7059
VIDEO,15,DIR,0.2763,1,1892.0000,31.4677
VIDEO,15,HEU,18.4350,1,395.0000,54.8251
VIDEO,15,MST,17.8041,1,390.0000,72.6841
AUDIO,15,DIR,0.0463,1,1892.0000,31.4677
AUDIO,15,HEU,14.4608,1,395.0000,54.8251
AUDIO,15,MST,14.2093,1,390.0000,72.6841
MESSAGING,15,DIR,0.0451,1,1892.0000,31.4677
MESSAGING,15,HEU,15.6903,1,395.0000,54.8251
MESSAGING,15,MST,13.3574,1,390.0000,72.6841
VIDEO,16,DIR,0.4714,1,1892.0000,29.6486
VIDEO,16,HEU,20.5302,1,395.0000,51.5479
VIDEO,16,MST,31.5983,1,390.0000,66.8310
AUDIO,16,DIR,0.0310,1,1892.0000,29.6486
AUDIO,16,HEU,32.0473,1,395.0000,51.5479
AUDIO,16,MST,14.6101,1,390.0000,66.8310
MESSAGING,16,DIR,0.0455,1,1892.0000,29.6486
MESSAGING,16,HEU,15.8005,1,395.0000,51.5479
MESSAGING,16,MST,14.1256,1,390.0000,66.8310
VIDEO,17,DIR,0.3283,1,2016.0000,30.0041
VIDEO,17,HEU,19.8486,1,395.0000,51.5743
VIDEO,17,MST,32.7399,1,390.0000,52.2636
AUDIO,17,DIR,0.0355,1,2016.0000,30.0041
AUDIO,17,HEU,33.6099,1,395.0000,51.5743
AUDIO,17,MST,13.6037,1,390.0000,52.2636
MESSAGING,17,DIR,0.0336,1,2016.0000,30.0041
MESSAGING,17,HEU,18.0056,1,395.0000,51.5743
MESSAGING,17,MST,13.3181,1,390.0000,52.2636
VIDEO,18,DIR,0.3517,1,2018.0000,28.6556
VIDEO,18,HEU,21.0602,1,395.0000,46.2150
VIDEO,18,MST,15.6698,1,390.0000,51.5153
AUDIO,18,DIR,0.0679,1,2018.0000,28.6556
AUDIO,18,HEU,19.7382,1,395.0000,46.2150
AUDIO,18,MST,13.6552,1,390.0000,51.5153
MESSAGING,18,DIR,0.0780,1,2018.0000,28.6556
MESSAGING,18,HEU,17.8270,1,395.0000,46.2150
MESSAGING,18,MST,30.0977,1,390.0000,51.5153
VIDEO,19,DIR,0.3574,1,2267.0000,30.3106
VIDEO,19,HEU,23.5844,1,520.0000,50.1473
VIDEO,19,MST,31.4310,1,515.0000,52.4188
AUDIO,19,DIR,0.0346,1,2267.0000,30.3106
AUDIO,19,HEU,32.5541,1,520.0000,50.1473
AUDIO,19,MST,13.8693,1,515.0000,52.4188
MESSAGING,19,DIR,0.0696,1,2267.0000,30.3106
MESSAGING,19,HEU,18.2829,1,520.0000,50.1473
MESSAGING,19,MST,14.1253,1,515.0000,52.4188
VIDEO,20,DIR,0.3974,1,2516.0000,31.5285
VIDEO,20,HEU,24.1396,1,645.0000,71.7688
VIDEO,20,MST,33.7834,1,517.0000,54.5735
AUDIO,20,DIR,0.0379,1,2516.0000,31.5285
AUDIO,20,HEU,37.6563,1,645.0000,71.7688
AUDIO,20,MST,13.5307,1,517.0000,54.5735
MESSAGING,20,DIR,0.0484,1,2516.0000,31.5285
MESSAGING,20,HEU,20.0026,1,645.0000,71.7688
MESSAGING,20,MST,66.2110,1,517.0000,54.5735
VIDEO,21,DIR,0.3119,1,2642.0000,32.4565
VIDEO,21,HEU,25.2020,1,647.0000,73.3128
VIDEO,21,MST,16.4063,1,519.0000,54.7896
AUDIO,21,DIR,0.0756,1,2642.0000,32.4565
AUDIO,21,HEU,21.2102,1,647.0000,73.3128
AUDIO,21,MST,14.7228,1,519.0000,54.7896
MESSAGING,21,DIR,0.0565,1,2642.0000,32.4565
MESSAGING,21,HEU,21.4217,1,647.0000,73.3128
MESSAGING,21,MST,29.0222,1,519.0000,54.7896
VIDEO,22,DIR,0.3040,1,2890.0000,33.9979
VIDEO,22,HEU,27.6496,1,649.0000,67.0319
VIDEO,22,MST,32.1708,1,521.0000,57.9997
AUDIO,22,DIR,0.0365,1,2890.0000,33.9979
AUDIO,22,HEU,40.7572,1,649.0000,67.0319
AUDIO,22,MST,13.7315,1,521.0000,57.9997
MESSAGING,22,DIR,0.0467,1,2890.0000,33.9979
MESSAGING,22,HEU,40.1495,1,649.0000,67.0319
MESSAGING,22,MST,38.4099,1,521.0000,57.9997
VIDEO,23,DIR,0.3777,1,3015.0000,34.0397
VIDEO,23,HEU,44.1635,1,648.0000,67.3309
VIDEO,23,MST,27.8714,1,519.0000,57.3596
AUDIO,23,DIR,0.0393,1,3015.0000,34.0397
AUDIO,23,HEU,40.2739,1,648.0000,67.3309
AUDIO,23,MST,13.8907,1,519.0000,57.3596
MESSAGING,23,DIR,0.0863,1,3015.0000,34.0397
MESSAGING,23,HEU,39.7992,1,648.0000,67.3309
MESSAGING,23,MST,27.9744,1,519.0000,57.3596
VIDEO,24,DIR,0.3464,1,3017.0000,32.7124
