content_type,number_of_peers,opt_type,runtime_in_ms,success,objective,avg_delay
GAMING,7,MST,12.3761,0,0.0000,0.0000
VIDEO,8,DIR,0.1392,1,1913.1550,59.8247
VIDEO,8,HEU,5.9938,1,636.3100,161.6407
VIDEO,8,ILP,876748.8477,1,263.1550,66.2630
VIDEO,8,MST,10.5050,1,533.1550,60.1159
AUDIO,8,DIR,0.0165,1,1913.1550,59.8247
AUDIO,8,HEU,4.7412,1,635.4650,93.3323
AUDIO,8,ILP,465843.2758,1,263.1550,66.2630
AUDIO,8,MST,9.1221,1,533.1550,60.1159
MESSAGING,8,DIR,0.0165,1,1913.1550,59.8247
MESSAGING,8,HEU,4.6582,1,636.3100,161.6407
MESSAGING,8,ILP,617978.0438,1,263.1550,66.2630
MESSAGING,8,MST,12.4774,1,533.1550,60.1159
GAMING,8,DIR,0.0165,0,0.0000,0.0000
GAMING,8,HEU,0.8240,0,0.0000,0.0000
GAMING,8,ILP,109910.6586,0,0.0000,0.0000
GAMING,8,MST,12.1367,0,0.0000,0.0000
VIDEO,9,DIR,0.1204,1,2213.1550,62.9501
VIDEO,9,HEU,6.4409,1,736.3100,169.8581
VIDEO,9,ILP,1127570.5700,1,363.1550,69.1572
VIDEO,9,MST,10.3381,1,633.1550,67.3231
AUDIO,9,DIR,0.0200,1,2213.1550,62.9501
AUDIO,9,HEU,5.5137,1,726.4650,110.6963
AUDIO,9,ILP,573774.8520,1,363.1550,69.1572
AUDIO,9,MST,12.0919,1,633.1550,67.3231
MESSAGING,9,DIR,0.0196,1,2213.1550,62.9501
MESSAGING,9,HEU,7.2012,1,736.3100,169.8581
MESSAGING,9,ILP,1416935.2150,1,363.1550,69.1572
MESSAGING,9,MST,12.1851,1,633.1550,67.3231
GAMING,9,DIR,0.0131,0,0.0000,0.0000
GAMING,9,HEU,0.7935,0,0.0000,0.0000
GAMING,9,ILP,DNF,0,-,-
GAMING,9,MST,29.1417,0,0.0000,0.0000
VIDEO,10,DIR,0.1297,1,2418.1550,64.0844
