content_type,number_of_peers,opt_type,runtime_in_ms,success,objective,avg_delay
VIDEO,33,MST,12.6541,1,647.0000,91.9819
VIDEO,34,DIR,0.0379,1,2690.0000,47.3484
VIDEO,34,HEU,40.6954,1,653.0000,80.2171
VIDEO,34,MST,11.9452,1,650.0000,93.5242
VIDEO,35,DIR,0.0412,1,2691.0000,47.2852
VIDEO,35,HEU,40.0054,1,651.0000,82.2970
VIDEO,35,MST,12.4371,1,646.0000,93.9143
VIDEO,36,DIR,0.0718,1,2822.0000,48.0478
VIDEO,36,HEU,43.6585,1,651.0000,82.1472
VIDEO,36,MST,13.4778,1,646.0000,95.1967
VIDEO,37,DIR,0.0825,1,2824.0000,47.8913
VIDEO,37,HEU,44.0688,1,652.0000,81.4421
VIDEO,37,MST,12.5721,1,647.0000,93.0667
VIDEO,38,DIR,0.0746,1,2828.0000,47.9043
VIDEO,38,HEU,52.9203,1,652.0000,80.5769
VIDEO,38,MST,12.9049,1,647.0000,92.0392
VIDEO,39,DIR,0.0632,1,2954.0000,47.5632
VIDEO,39,HEU,47.1690,1,652.0000,64.1101
VIDEO,39,MST,12.4671,1,647.0000,93.2331
VIDEO,40,DIR,0.0432,1,3080.0000,48.1994
VIDEO,40,HEU,50.1382,1,652.0000,65.2592
VIDEO,40,MST,13.2363,1,647.0000,93.0759
VIDEO,41,DIR,0.0818,1,3206.0000,48.7418
VIDEO,41,HEU,49.5210,1,652.0000,65.3397
VIDEO,41,MST,12.2681,1,647.0000,92.8718
VIDEO,42,DIR,0.0668,1,3332.0000,49.0881
VIDEO,42,HEU,56.7133,1,652.0000,65.5392
VIDEO,42,MST,13.2027,1,647.0000,94.0898
VIDEO,43,DIR,0.0632,1,3334.0000,49.0403
VIDEO,43,HEU,52.7978,1,652.0000,65.1400
VIDEO,43,MST,14.0831,1,647.0000,93.0369
VIDEO,44,DIR,0.0827,1,3336.0000,48.6413
VIDEO,44,HEU,54.4693,1,653.0000,65.0652
VIDEO,44,MST,13.4256,1,648.0000,92.3489
VIDEO,45,DIR,0.0753,1,3462.0000,49.0749
VIDEO,45,HEU,61.4541,1,653.0000,65.6754
VIDEO,45,MST,15.0654,1,648.0000,93.0906
VIDEO,46,DIR,0.0892,1,3588.0000,49.4026
VIDEO,46,HEU,60.9155,1,653.0000,66.8841
VIDEO,46,MST,14.4632,1,648.0000,93.6016
AUDIO,2,DIR,0.0246,1,126.0000,65.7057
AUDIO,2,HEU,1.1013,1,126.0000,65.7057
AUDIO,2,MST,11.7977,1,126.0000,65.7057
AUDIO,3,DIR,0.0274,1,252.0000,59.8863
AUDIO,3,HEU,1.9193,1,128.0000,85.3934
AUDIO,3,MST,11.2822,1,128.0000,85.3934
AUDIO,4,DIR,0.0260,1,378.0000,61.9956
AUDIO,4,HEU,2.8286,1,254.0000,79.0003
AUDIO,4,MST,11.2278,1,254.0000,79.0003
AUDIO,5,DIR,0.0572,1,503.0000,57.3267
AUDIO,5,HEU,4.1752,1,253.0000,62.9862
AUDIO,5,MST,11.9054,1,253.0000,62.9862
AUDIO,6,DIR,0.0224,1,506.0000,54.8675
AUDIO,6,HEU,4.7584,1,256.0000,80.2955
AUDIO,6,MST,12.1400,1,256.0000,94.6332
AUDIO,7,DIR,0.0167,1,632.0000,54.7341
AUDIO,7,HEU,6.3725,1,256.0000,81.6940
AUDIO,7,MST,11.6019,1,256.0000,103.0896
AUDIO,8,DIR,0.0160,1,636.0000,53.1402
AUDIO,8,HEU,7.5336,1,258.0000,76.9958
AUDIO,8,MST,12.9104,1,258.0000,95.3349
AUDIO,9,DIR,0.0274,1,639.0000,51.6964
AUDIO,9,HEU,8.4531,1,258.0000,73.5391
