content_type,number_of_peers,opt_type,runtime_in_ms,success,objective,max_delay
VIDEO,27,HEU,39.5305,1,522.0000,146.8853
VIDEO,27,MST,13.8252,1,520.0000,138.5805
VIDEO,33,DIR,0.0508,1,2681.0000,73.9776
VIDEO,33,HEU,53.3669,1,646.0000,132.1576
VIDEO,33,MST,14.1537,1,645.0000,150.9312
VIDEO,39,DIR,0.0570,1,3193.0000,81.8154
VIDEO,39,HEU,67.6689,1,648.0000,134.1911
VIDEO,39,MST,14.8265,1,643.0000,152.9647
VIDEO,45,DIR,0.0684,1,3584.0000,81.8154
VIDEO,45,HEU,81.1725,1,652.0000,151.6501
VIDEO,45,MST,14.5171,1,647.0000,155.1966
AUDIO,3,DIR,0.0129,1,252.0000,66.6596
AUDIO,3,HEU,2.1319,1,128.0000,70.5607
AUDIO,3,ILP,4113.2653,1,128.0000,74.8171
AUDIO,3,MST,20.2684,1,128.0000,69.4105
AUDIO,9,DIR,0.0288,1,639.0000,69.8958
AUDIO,9,HEU,16.3715,1,259.0000,84.6604
AUDIO,9,ILP,504320.0247,1,257.0000,82.4070
AUDIO,9,MST,12.0823,1,258.0000,82.8418
AUDIO,15,DIR,0.0298,1,1274.0000,73.9776
AUDIO,15,HEU,17.9827,1,515.0000,98.2116
AUDIO,15,ILP,3956826.7965,1,510.0000,119.5471
AUDIO,15,MST,15.3818,1,513.0000,125.4739
AUDIO,21,DIR,0.0343,1,1660.0000,73.9776
AUDIO,21,HEU,24.0550,1,518.0000,128.8467
AUDIO,21,MST,11.6293,1,517.0000,137.0329
AUDIO,27,DIR,0.0606,1,2050.0000,73.9776
AUDIO,27,HEU,30.0574,1,522.0000,146.8853
AUDIO,27,MST,10.8421,1,520.0000,138.5805
AUDIO,33,DIR,0.0329,1,2681.0000,73.9776
AUDIO,33,HEU,44.4298,1,646.0000,132.1576
AUDIO,33,MST,11.9095,0,0.0000,150.0000
AUDIO,39,DIR,0.0417,1,3193.0000,81.8154
AUDIO,39,HEU,54.8573,1,648.0000,134.1911
AUDIO,39,MST,14.0977,0,0.0000,150.0000
AUDIO,45,DIR,0.0565,1,3584.0000,81.8154
AUDIO,45,HEU,66.4444,1,652.0000,149.6166
AUDIO,45,MST,12.8450,0,0.0000,150.0000
GAMING,3,DIR,0.0110,1,252.0000,66.6596
GAMING,3,HEU,1.6890,1,128.0000,70.5607
GAMING,3,ILP,3183.6653,1,128.0000,74.8171
GAMING,3,MST,10.1166,1,128.0000,69.4105
GAMING,9,DIR,0.0157,1,639.0000,69.8958
GAMING,9,HEU,7.4830,1,263.0000,70.5607
GAMING,9,MST,16.8967,0,0.0000,75.0000
GAMING,15,DIR,0.0293,1,1274.0000,73.9776
GAMING,15,HEU,16.7236,1,523.0000,73.9776
GAMING,15,MST,12.0335,0,0.0000,75.0000
GAMING,21,DIR,0.0331,1,1660.0000,73.9776
GAMING,21,HEU,26.8521,1,526.0000,74.3785
GAMING,21,MST,13.2489,0,0.0000,75.0000
GAMING,27,DIR,0.0472,1,2050.0000,73.9776
GAMING,27,HEU,36.2749,1,530.0000,74.3785
GAMING,27,MST,13.2668,0,0.0000,75.0000
GAMING,33,DIR,0.0427,1,2681.0000,73.9776
GAMING,33,HEU,45.7311,1,782.0000,74.3350
GAMING,33,MST,12.8801,0,0.0000,75.0000
GAMING,39,DIR,0.0291,0,0.0000,75.0000
GAMING,39,HEU,19.1805,0,0.0000,75.0000
GAMING,39,MST,13.2933,0,0.0000,75.0000
GAMING,45,DIR,0.0381,0,0.0000,75.0000
GAMING,45,HEU,27.8189,0,0.0000,75.0000
GAMING,45,MST,13.6511,0,0.0000,75.0000
VIDEO,4,DIR,0.1955,1,255.0000,66.6596
VIDEO,4,HEU,7.3285,1,130.0000,80.1274
VIDEO,4,ILP,16718.2419,1,129.0000,78.8500
VIDEO,4,MST,12.4667,1,130.0000,80.1274
VIDEO,10,DIR,0.0203,1,765.0000,72.3768
VIDEO,10,HEU,9.6591,1,259.0000,84.6604
VIDEO,10,ILP,886810.4055,1,257.0000,85.1057
VIDEO,10,MST,11.3168,1,258.0000,82.8418
VIDEO,16,DIR,0.0296,1,1276.0000,73.9776
VIDEO,16,HEU,16.4464,1,516.0000,98.2116
VIDEO,16,ILP,6450093.8878,1,511.0000,118.9748
VIDEO,16,MST,11.1763,1,514.0000,125.4739
VIDEO,22,DIR,0.0358,1,1664.0000,73.9776
VIDEO,22,HEU,24.9469,1,519.0000,128.8467
VIDEO,22,MST,13.2310,1,518.0000,137.0329
VIDEO,28,DIR,0.0527,1,2175.0000,73.9776
VIDEO,28,HEU,41.5609,1,647.0000,146.8853
VIDEO,28,MST,13.8161,1,644.0000,138.5805
VIDEO,34,DIR,0.0546,1,2683.0000,73.9776
VIDEO,34,HEU,54.2047,1,648.0000,132.1576
VIDEO,34,MST,14.2965,1,647.0000,150.9312
VIDEO,40,DIR,0.0632,1,3319.0000,81.8154
VIDEO,40,HEU,66.3383,1,648.0000,134.1911
VIDEO,40,MST,13.9501,1,643.0000,155.1966
VIDEO,46,DIR,0.0632,1,3588.0000,81.8154
VIDEO,46,HEU,77.4071,1,653.0000,151.6501
VIDEO,46,MST,15.5091,1,648.0000,155.1966
AUDIO,4,DIR,0.0148,1,255.0000,66.6596
AUDIO,4,HEU,3.3846,1,130.0000,80.1274
AUDIO,4,ILP,12874.9847,1,129.0000,78.8500
AUDIO,4,MST,11.6627,1,130.0000,80.1274
AUDIO,10,DIR,0.0215,1,765.0000,72.3768
AUDIO,10,HEU,9.6829,1,259.0000,84.6604
AUDIO,10,ILP,713398.4842,1,257.0000,85.1057
AUDIO,10,MST,11.4067,1,258.0000,82.8418
AUDIO,16,DIR,0.0286,1,1276.0000,73.9776
AUDIO,16,HEU,17.4661,1,516.0000,98.2116
AUDIO,16,ILP,4303953.1791,1,511.0000,122.0370
AUDIO,16,MST,11.7397,1,514.0000,125.4739
AUDIO,22,DIR,0.0336,1,1664.0000,73.9776
AUDIO,22,HEU,25.6879,1,519.0000,128.8467
AUDIO,22,MST,11.5309,1,518.0000,137.0329
AUDIO,28,DIR,0.0620,1,2175.0000,73.9776
AUDIO,28,HEU,33.6382,1,647.0000,146.8853
AUDIO,28,MST,11.9932,1,644.0000,138.5805
AUDIO,34,DIR,0.0510,1,2683.0000,73.9776
AUDIO,34,HEU,48.1243,1,648.0000,132.1576
AUDIO,34,MST,12.2967,0,0.0000,150.0000
AUDIO,40,DIR,0.0565,1,3319.0000,81.8154
AUDIO,40,HEU,57.2391,1,648.0000,134.1911
AUDIO,40,MST,12.4214,0,0.0000,150.0000
AUDIO,46,DIR,0.0479,1,3588.0000,81.8154
AUDIO,46,HEU,68.6255,1,653.0000,149.6166
AUDIO,46,MST,13.4947,0,0.0000,150.0000
GAMING,4,DIR,0.0162,1,255.0000,66.6596
GAMING,4,HEU,2.8551,1,131.0000,70.5607
GAMING,4,ILP,76483.8197,1,131.0000,69.7065
GAMING,4,MST,10.5977,0,0.0000,75.0000
GAMING,10,DIR,0.0291,1,765.0000,72.3768
GAMING,10,HEU,9.5704,1,263.0000,72.6700
GAMING,10,MST,11.5955,0,0.0000,75.0000
GAMING,16,DIR,0.0286,1,1276.0000,73.9776
GAMING,16,HEU,18.9764,1,524.0000,73.9776
GAMING,16,MST,12.1734,0,0.0000,75.0000
GAMING,22,DIR,0.0329,1,1664.0000,73.9776
GAMING,22,HEU,26.5014,1,527.0000,74.3785
GAMING,22,MST,12.3594,0,0.0000,75.0000
GAMING,28,DIR,0.0420,1,2175.0000,73.9776
GAMING,28,HEU,38.0142,1,655.0000,74.3785
GAMING,28,MST,12.6379,0,0.0000,75.0000
GAMING,34,DIR,0.0474,1,2683.0000,73.9776
GAMING,34,HEU,49.8760,1,784.0000,74.3350
GAMING,34,MST,13.1984,0,0.0000,75.0000
GAMING,40,DIR,0.0284,0,0.0000,75.0000
GAMING,40,HEU,20.6273,0,0.0000,75.0000
GAMING,40,MST,13.2632,0,0.0000,75.0000
GAMING,46,DIR,0.0350,0,0.0000,75.0000
GAMING,46,HEU,28.2109,0,0.0000,75.0000
GAMING,46,MST,14.5667,0,0.0000,75.0000
VIDEO,5,DIR,0.1879,1,259.0000,66.6596
VIDEO,5,HEU,8.6071,1,133.0000,80.1274
VIDEO,5,ILP,32994.2276,1,132.0000,86.7817
VIDEO,5,MST,12.0723,1,133.0000,88.7010
VIDEO,11,DIR,0.0229,1,890.0000,72.3768
VIDEO,11,HEU,10.5298,1,260.0000,98.6612
VIDEO,11,ILP,1232235.8212,1,257.0000,398.4076
VIDEO,11,MST,11.2042,1,258.0000,113.6078
VIDEO,17,DIR,0.0291,1,1279.0000,73.9776
VIDEO,17,HEU,17.8716,1,516.0000,105.0665
VIDEO,17,MST,11.8165,1,514.0000,125.4739
VIDEO,23,DIR,0.0374,1,1668.0000,73.9776
VIDEO,23,HEU,27.4434,1,519.0000,128.8467
VIDEO,23,MST,14.4660,1,518.0000,137.0329
VIDEO,29,DIR,0.0436,1,2301.0000,73.9776
VIDEO,29,HEU,38.6734,1,647.0000,147.6718
VIDEO,29,MST,12.8744,1,644.0000,138.5805
VIDEO,35,DIR,0.0761,1,2814.0000,80.5061
VIDEO,35,HEU,50.6186,1,648.0000,132.1576
VIDEO,35,MST,13.3369,1,647.0000,150.9312
VIDEO,41,DIR,0.0594,1,3449.0000,81.8154
VIDEO,41,HEU,63.5056,1,650.0000,151.6501
VIDEO,41,MST,13.6056,1,645.0000,155.1966
AUDIO,5,DIR,0.0150,1,259.0000,66.6596
AUDIO,5,HEU,4.2937,1,133.0000,80.1274
AUDIO,5,ILP,29881.5954,1,132.0000,86.7817
AUDIO,5,MST,10.9761,1,133.0000,88.7010
AUDIO,11,DIR,0.0226,1,890.0000,72.3768
AUDIO,11,HEU,10.2046,1,260.0000,98.6612
AUDIO,11,ILP,1128994.0858,1,257.0000,116.5649
AUDIO,11,MST,11.2596,1,258.0000,113.6078
AUDIO,17,DIR,0.0274,1,1279.0000,73.9776
AUDIO,17,HEU,17.3540,1,516.0000,105.0665
AUDIO,17,ILP,5563848.5904,1,511.0000,135.8392
AUDIO,17,MST,12.9824,1,514.0000,125.4739
AUDIO,23,DIR,0.0389,1,1668.0000,73.9776
AUDIO,23,HEU,28.9648,1,519.0000,128.8467
AUDIO,23,MST,20.6041,1,518.0000,137.0329
AUDIO,29,DIR,0.0541,1,2301.0000,73.9776
AUDIO,29,HEU,37.4737,1,647.0000,147.6718
AUDIO,29,MST,12.9595,1,644.0000,138.5805
AUDIO,35,DIR,0.0460,1,2814.0000,80.5061
AUDIO,35,HEU,57.8880,1,648.0000,132.1576
AUDIO,35,MST,12.1109,0,0.0000,150.0000
AUDIO,41,DIR,0.0479,1,3449.0000,81.8154
AUDIO,41,HEU,57.7610,1,650.0000,149.6166
AUDIO,41,MST,16.0174,0,0.0000,150.0000
GAMING,5,DIR,0.0131,1,259.0000,66.6596
GAMING,5,HEU,3.9086,1,134.0000,70.5607
GAMING,5,ILP,1051728.0364,1,134.0000,71.3805
GAMING,5,MST,11.5151,0,0.0000,75.0000
GAMING,11,DIR,0.0327,1,890.0000,72.3768
GAMING,11,HEU,11.1923,1,264.0000,72.6700
GAMING,11,MST,21.0152,0,0.0000,75.0000
GAMING,17,DIR,0.0439,1,1279.0000,73.9776
GAMING,17,HEU,25.0578,1,524.0000,73.9776
GAMING,17,MST,11.0874,0,0.0000,75.0000
GAMING,23,DIR,0.0348,1,1668.0000,73.9776
GAMING,23,HEU,27.4510,1,527.0000,74.3785
GAMING,23,MST,11.7905,0,0.0000,75.0000
GAMING,29,DIR,0.0405,1,2301.0000,73.9776
GAMING,29,HEU,34.6715,1,655.0000,74.3785
GAMING,29,MST,11.8175,0,0.0000,75.0000
GAMING,35,DIR,0.0424,0,0.0000,75.0000
GAMING,35,HEU,15.4870,0,0.0000,75.0000
GAMING,35,MST,12.4214,0,0.0000,75.0000
GAMING,41,DIR,0.0296,0,0.0000,75.0000
GAMING,41,HEU,20.8056,0,0.0000,75.0000
GAMING,41,MST,12.8703,0,0.0000,75.0000
